No,Drug_name,SMILES,initial_weight,BET,1h (20%RH end),2h (30%RH end),3h (40%RH end),4h (50%RH end),5h (60%RH end),6h (70%RH end),9h (80%RH end),10h (70%RH end),11h (60%RH end),12h (50%RH end),13h (40%RH end),14h (30%RH end),15h (20%RH end)
1,Praziquantel,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2,16.8283,1.65,0.084912079,0.110812881,0.113699916,0.160210467,0.181432012,0.183885222,0.208553615,0.108189297,0.09996406,0.020887925,0.029758937,0.06572997,0.061872699
2,Diphenhydramine Hydrochloride,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl,11.333,1.96,0.055993515,0.10158633,0.070165571,0.237934178,0.021213977,0.265369796,5.165672888,1.062062349,0.765070138,0.732167323,0.49130841,0.41293381,0.346780838
3,Thiamazole,CN1C=CNC1=S,51.4659,0,0.052331048,0.023772519,0.022034781,0.023872727,0.01861189,0.037000021,0.025236655,0.023314906,0.022370654,0.022051043,0.016150167,0.012466262,0.008867798
4,Chlorphenamine Maleate,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=CC(=O)O)C(=O)O,46.6677,1.7,0.019324417,0.071540134,0.077670346,0.119350765,0.115775586,0.136426211,0.171370481,0.180281199,0.161084773,0.143296054,0.137937762,0.137950156,0.142352538
5,Malaridine Phosphate,COC1=NC2=C(C3=C(C=C(C=C3)Cl)N=C2C=C1)NC4=CC(=C(C(=C4)CN5CCCC5)O)CN6CCCC6.OP(=O)(O)O.OP(=O)(O)O.OP(=O)(O)O.OP(=O)(O)O,54.1202,58.95,1.448373794,2.112246705,2.626029672,3.213554235,4.076740556,5.234746199,6.784607958,6.354122778,5.858304207,5.358419167,4.475033913,3.245537828,2.325323475
6,Benzoyl Peroxide,C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2,37.8617,0.35,0.017179135,0.021860988,0.02265056,0.005024786,0.012535996,0.025453904,0.191108904,0.137226571,0.100272707,0.023586421,0.014285875,0.012552372,0.022170805
7,Verapamil Hydrochloride,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC.Cl,26.7613,0.96,0.089159566,0.112582439,0.142026063,0.098005731,0.113843553,0.149203266,0.234383019,0.317531936,0.318776855,0.303638897,0.069157938,0.045583544,0.044543198
8,Reserpine,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,61.111,0.04,0.031034882,0.030988579,0.02600363,0.027650576,0.028378051,0.027730311,0.032222827,0.026508685,0.025714936,0.033466736,0.033824431,0.029764006,0.014325824
9,Sodium Houttuyfonate,CCCCCCCCCC(=O)CC(O)S(=O)(=O)[O-].[Na+],28.495,0.74,0.010847318,0.021745052,0.029421102,0.039545947,0.058351483,0.089020927,0.340130797,0.366822766,0.361232707,0.34891198,0.346632356,0.33482682,0.322780966
10,Nilestriol,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@]2(C#C)O)O)CCC4=C3C=CC(=C4)OC5CCCC5,52.8376,0.42,0.02550509,0.029531656,0.03741871,0.049066946,0.062638154,0.082028826,0.104485707,0.09089251,0.055779981,0.051735788,0.036538677,0.027993098,0.010017406
11,Diethylstilbestrol,CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O,49.3529,0.79,0.009235696,0.024429397,0.019204477,0.051945087,0.04871743,0.065661514,0.076970111,0.081750679,0.065801053,0.057815231,0.047690125,0.037722221,0.012669784
12,4-N-Demethylanalgin,CC1(C(=O)NC(=O)N1C2=CC=CC=C2)S(=O)(=O)[O-].[Na+],47.9317,34.52,0.920710957,1.172185313,1.399078051,1.606311311,1.812942937,2.055745406,2.833141782,2.090645506,1.797532152,1.514840991,1.302884863,1.089868319,0.895575431
13,Nefopam Hydrochloride,CN1CCOC(C2=CC=CC=C2C1)C3=CC=CC=C3.Cl,27.49,1.07,0.029194865,0.040019974,0.054244217,0.071734248,0.091709079,0.114129561,0.137646811,0.083943043,0.062569244,0.05401843,0.054932071,0.03401262,0.007717871
