Fold,Train_R2,Val_R2,Test_R2,Train_MAE,Val_MAE,Test_MAE,Train_MSE,Val_MSE,Test_MSE,Val_Test_R2_Diff,Best_Params
1,1.0,0.23567719619573085,0.21096110891992037,0.0,0.5896295554980081,0.529077679042004,0.0,0.6232722547989391,0.49095220859196087,0.024716087275810483,"OrderedDict([('algorithm', 'kd_tree'), ('leaf_size', 11), ('metric', 'minkowski'), ('n_neighbors', 18), ('p', 2), ('weights', 'distance')])"
2,0.9999999999978252,0.22607782785191963,0.19787086370679685,5.982242371441762e-07,0.57689416664098,0.6722479582394372,1.7140112971295831e-12,0.6034800201240523,0.7638387320511167,0.028206964145122776,"OrderedDict([('algorithm', 'auto'), ('leaf_size', 10), ('metric', 'minkowski'), ('n_neighbors', 22), ('p', 2), ('weights', 'distance')])"
3,1.0,0.21559209233946502,0.3540227179298907,0.0,0.5849682006001072,0.588516247470048,0.0,0.6162273423365119,0.6041461429013432,0.13843062559042568,"OrderedDict([('algorithm', 'kd_tree'), ('leaf_size', 10), ('metric', 'minkowski'), ('n_neighbors', 14), ('p', 2), ('weights', 'distance')])"
4,0.999999999998011,0.22879828793175494,0.2548479106700534,5.804815909452823e-07,0.5939927981873835,0.5221106821903332,1.6358446345717318e-12,0.6315038763686524,0.4775817101867316,0.026049622738298472,"OrderedDict([('algorithm', 'auto'), ('leaf_size', 10), ('metric', 'minkowski'), ('n_neighbors', 21), ('p', 2), ('weights', 'distance')])"
5,0.9999999999986764,0.24279746978162478,0.11281909250978961,4.6462081911879795e-07,0.574644643079317,0.6016449133785192,1.0784284357553624e-12,0.6038674349688999,0.6477491917355934,0.12997837727183517,"OrderedDict([('algorithm', 'auto'), ('leaf_size', 100), ('metric', 'minkowski'), ('n_neighbors', 18), ('p', 2), ('weights', 'distance')])"
6,1.0,0.21783805912162765,0.1449328108787784,0.0,0.5784030795537362,0.6336293973035803,0.0,0.6125644348867578,0.750091835882742,0.07290524824284925,"OrderedDict([('algorithm', 'kd_tree'), ('leaf_size', 10), ('metric', 'minkowski'), ('n_neighbors', 23), ('p', 2), ('weights', 'distance')])"
7,0.9999999999982513,0.23430879867990945,0.12156578965225051,5.264753514117275e-07,0.5758039199522162,0.7175541693949862,1.3699536420850921e-12,0.5915101200636682,0.8843451975136959,0.11274300902765894,"OrderedDict([('algorithm', 'auto'), ('leaf_size', 10), ('metric', 'minkowski'), ('n_neighbors', 20), ('p', 2), ('weights', 'distance')])"
8,1.0,0.24040799793823533,0.15005455800398493,0.0,0.5777572110027978,0.5932188813665737,0.0,0.6082656604240674,0.6072460828045544,0.0903534399342504,"OrderedDict([('algorithm', 'kd_tree'), ('leaf_size', 100), ('metric', 'minkowski'), ('n_neighbors', 24), ('p', 2), ('weights', 'distance')])"
9,0.999999999998444,0.22532684999829594,0.40881629840129385,5.180633115833904e-07,0.5955190000127251,0.4782007164234178,1.269249521004398e-12,0.6278647748144541,0.4202813464445289,0.1834894484029979,"OrderedDict([('algorithm', 'auto'), ('leaf_size', 100), ('metric', 'minkowski'), ('n_neighbors', 19), ('p', 2), ('weights', 'distance')])"
10,0.9999999999985889,0.2217782123843076,0.30610311533977785,4.868333255902692e-07,0.5919397142266826,0.5130710671740476,1.1514490554368307e-12,0.6276755306914766,0.47180501600202984,0.08432490295547027,"OrderedDict([('algorithm', 'auto'), ('leaf_size', 100), ('metric', 'minkowski'), ('n_neighbors', 18), ('p', 2), ('weights', 'distance')])"
