Fold,Train_R2,Val_R2,Test_R2,Train_MAE,Val_MAE,Test_MAE,Train_MSE,Val_MSE,Test_MSE,Val_Test_R2_Diff,Best_Params
1,0.5452369084612428,0.4807325218214379,0.41240330989595475,0.4582408932262642,0.48948302394167975,0.4596077663020603,0.37475146155337713,0.42046962530186366,0.3656117537793571,0.06832921192548314,"OrderedDict([('alpha', 0.016118748805058942), ('positive', False)])"
2,0.5017399630828141,0.4504421382914767,0.5992728046859328,0.46738841001654613,0.4864577296012941,0.4757822685050036,0.3926919743445797,0.4223249143020166,0.3815980980090113,0.14883066639445608,"OrderedDict([('alpha', 0.028751366511639096), ('positive', False)])"
3,0.5324469469020159,0.47206815159753324,0.5855123590882123,0.45237342951487364,0.4821131513249317,0.45708590590836623,0.3692688944273902,0.4127295298542582,0.3876469289053973,0.11344420749067907,"OrderedDict([('alpha', 0.013469319583203682), ('positive', False)])"
4,0.5318575057785886,0.48675133780786534,0.4623524223913551,0.4606937658033148,0.4837308735968174,0.45711620754509197,0.3850239478573231,0.4212607802388938,0.3445882434859475,0.024398915416510236,"OrderedDict([('alpha', 0.020171804159681696), ('positive', False)])"
5,0.5426993180945039,0.4887664830259352,0.35321946599928333,0.45388406923157243,0.47756542764926635,0.5102690053728677,0.3726002453117991,0.4079127758624179,0.47222789015430056,0.13554701702665184,"OrderedDict([('alpha', 0.022686173550858606), ('positive', False)])"
6,0.5233480082166149,0.46113055575304085,0.5509416175233253,0.45634188462242636,0.4851181037388258,0.46069703817764757,0.37640640790736274,0.41912421404149197,0.39392813899997614,0.08981106177028442,"OrderedDict([('alpha', 0.018670081939307432), ('positive', False)])"
7,0.5373544859196191,0.46769547811221257,0.47955277018816045,0.4485782355634751,0.47799624268870067,0.5499058245497893,0.3624411546217229,0.4064384436193282,0.5239493212146235,0.011857292075947878,"OrderedDict([('alpha', 0.016491275765865447), ('positive', False)])"
8,0.546795869157445,0.48738287030811633,0.32566410337562557,0.4529486524714029,0.4772482869789484,0.5128556766462513,0.3699522786199465,0.40578128470382663,0.48178131381939715,0.16171876693249077,"OrderedDict([('alpha', 0.019364963880436566), ('positive', False)])"
9,0.5480356189146877,0.4858202962931486,0.3906687871733596,0.45399277871219473,0.48397687901964115,0.45601532572602144,0.3686883584244764,0.41071199068076203,0.43318268393551174,0.09515150911978898,"OrderedDict([('alpha', 0.016099021290398755), ('positive', False)])"
10,0.5449420909304827,0.47414820609366204,0.4488129028661566,0.45304660817285664,0.48380726755018183,0.47783056295471404,0.3713292228540743,0.41634091750488295,0.37477158772759794,0.025335303227505435,"OrderedDict([('alpha', 0.014540148998250643), ('positive', False)])"
